frame,segundo,track_id,direccion
23,2.3,2,der_a_izq
34,3.4,3,der_a_izq
113,11.3,18,izq_a_der
172,17.2,24,der_a_izq
214,21.4,15,der_a_izq
244,24.4,26,der_a_izq
273,27.3,38,der_a_izq
278,27.8,40,der_a_izq
324,32.4,26,izq_a_der
345,34.5,15,izq_a_der
362,36.2,40,izq_a_der
477,47.7,50,izq_a_der
482,48.2,52,der_a_izq
527,52.7,58,der_a_izq
553,55.3,55,der_a_izq
600,60.0,70,izq_a_der
632,63.2,72,der_a_izq
684,68.4,82,der_a_izq
694,69.4,78,izq_a_der
718,71.8,55,izq_a_der
750,75.0,84,der_a_izq
759,75.9,72,izq_a_der
794,79.4,87,izq_a_der
